Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,52.220001,52.580002,52.139999,52.540001,44.025158,190300
2010-01-05,52.430000,52.830002,52.419998,52.770000,44.217888,235800
2010-01-06,52.610001,52.980000,52.610001,52.900002,44.326820,33900
2010-01-07,52.689999,53.590000,52.689999,53.549999,44.871471,59800
2010-01-08,53.520000,54.320000,53.520000,54.259998,45.466415,57300
2010-01-11,54.490002,54.810001,54.320000,54.770000,45.893764,62800
2010-01-12,54.310001,54.410000,53.910000,54.220001,45.432888,1427200
2010-01-13,54.230000,54.639999,53.930000,54.549999,45.709408,133100
2010-01-14,54.450001,54.599998,54.250000,54.500000,45.667522,109400
2010-01-15,54.320000,54.509998,53.669998,53.869999,45.139610,83600
2010-01-19,53.910000,54.450001,53.820000,54.349998,45.541824,69500
2010-01-20,53.840000,53.840000,53.139999,53.650002,44.955273,40700
2010-01-21,53.680000,53.799999,52.360001,52.520000,44.008404,64900
2010-01-22,52.439999,52.740002,51.540001,51.549999,43.195610,53400
2010-01-25,52.139999,52.209999,51.590000,51.759998,43.371567,52600
2010-01-26,51.580002,52.130001,51.380001,51.680000,43.304527,50400
2010-01-27,51.500000,51.779999,50.959999,51.709999,43.329685,45100
2010-01-28,51.950001,51.950001,50.639999,51.000000,42.734745,42200
2010-01-29,51.189999,51.669998,50.400002,50.470001,42.290642,78400
2010-02-01,50.610001,51.200001,50.610001,51.150002,42.860439,89400
2010-02-02,51.360001,52.250000,51.360001,52.110001,43.664852,47500
2010-02-03,51.880001,52.299999,51.830002,51.900002,43.488892,43600
2010-02-04,51.509998,51.520000,50.240002,50.240002,42.097908,47100
2010-02-05,50.230000,50.369999,48.919998,50.009998,41.905182,118600
2010-02-08,49.900002,50.169998,49.520000,49.520000,41.494591,58700
2010-02-09,50.279999,50.750000,49.869999,50.310001,42.156570,63800
2010-02-10,50.230000,50.529999,48.950001,50.279999,42.131424,79200
2010-02-11,50.299999,51.099998,50.009998,51.099998,42.818535,112000
2010-02-12,50.470001,50.860001,50.130001,50.830002,42.592293,39600
2010-02-16,51.459999,51.959999,51.240002,51.910000,43.497269,39200
2010-02-17,52.270000,52.369999,52.060001,52.320000,43.840813,71300
2010-02-18,52.330002,52.910000,52.330002,52.830002,44.268173,51900
2010-02-19,52.709999,53.259998,52.650002,53.049999,44.452511,39300
2010-02-22,53.220001,53.299999,53.009998,53.060001,44.460892,38400
2010-02-23,53.070000,53.230000,52.259998,52.380001,43.891094,28400
2010-02-24,52.549999,52.919998,52.400002,52.799999,44.243023,40500
2010-02-25,52.029999,52.799999,51.709999,52.720001,44.175999,52700
2010-02-26,52.740002,53.029999,52.590000,52.959999,44.377098,33000
2010-03-01,53.209999,53.689999,53.209999,53.580002,44.896618,161600
2010-03-02,53.820000,53.959999,53.669998,53.730000,45.022308,29400
2010-03-03,53.919998,54.369999,53.880001,53.930000,45.189899,39700
2010-03-04,54.070000,54.209999,53.840000,54.110001,45.340721,35200
2010-03-05,54.490002,54.980000,54.490002,54.959999,46.052971,24600
2010-03-08,54.810001,55.130001,54.740002,54.779999,45.902134,36100
2010-03-09,54.570000,55.410000,54.570000,55.240002,46.287590,31300
2010-03-10,55.230000,55.570000,55.160000,55.439999,46.455181,42400
2010-03-11,55.270000,55.560001,54.970001,55.540001,46.538967,52000
2010-03-12,55.849998,55.939999,55.290001,55.840000,46.790363,38100
2010-03-15,55.689999,56.000000,55.450001,55.930000,46.865765,60600
2010-03-16,56.009998,56.549999,55.950001,56.549999,47.385292,61300
2010-03-17,56.720001,57.009998,56.619999,56.730000,47.536114,25700
2010-03-18,56.759998,57.009998,56.639999,56.959999,47.728840,67200
2010-03-19,56.610001,57.240002,56.470001,56.610001,47.435558,29900
2010-03-22,56.360001,57.000000,56.240002,56.889999,47.670185,41300
2010-03-23,57.090000,57.619999,57.000000,57.619999,48.281891,46700
2010-03-24,57.470001,57.680000,57.169998,57.209999,47.938320,141200
2010-03-25,57.709999,57.939999,57.009998,57.009998,47.770737,55200
2010-03-26,57.290001,57.599998,56.980000,57.250000,47.971848,37000
2010-03-29,57.509998,57.820000,57.480000,57.709999,48.357296,28500
2010-03-30,57.689999,58.139999,57.630001,57.849998,48.474602,36200
2010-03-31,57.950001,57.950001,57.400002,57.549999,48.223225,37900
2010-04-01,58.389999,58.389999,57.490002,57.970001,48.575150,34500
2010-04-05,58.270000,58.549999,57.970001,58.500000,49.019257,49500
2010-04-06,58.580002,58.860001,58.200001,58.520000,49.036026,58500
2010-04-07,58.500000,58.509998,57.889999,58.189999,48.759499,59000
2010-04-08,58.009998,58.520000,57.750000,58.389999,48.927078,27300
2010-04-09,58.540001,58.720001,58.330002,58.720001,49.203606,39300
2010-04-12,58.980000,59.099998,58.509998,58.919998,49.371201,53500
2010-04-13,58.900002,59.160000,58.660000,59.110001,49.530411,30500
2010-04-14,59.349998,59.910000,59.290001,59.889999,50.183998,68600
2010-04-15,60.000000,60.520000,59.950001,60.349998,50.569435,61400
2010-04-16,60.290001,60.290001,58.910000,59.400002,49.773407,90900
2010-04-19,59.270000,59.470001,58.669998,59.310001,49.697994,72700
2010-04-20,59.939999,60.000000,59.570000,59.830002,50.133713,70900
2010-04-21,59.990002,60.299999,59.810001,60.250000,50.485649,59300
2010-04-22,60.060001,60.849998,59.430000,60.840000,50.980034,99200
2010-04-23,60.990002,61.349998,60.639999,61.240002,51.315208,100300
2010-04-26,61.580002,61.779999,61.299999,61.410000,51.457649,87900
2010-04-27,61.290001,61.500000,59.669998,59.810001,50.116962,109700
2010-04-28,60.290001,60.599998,59.790001,60.150002,50.401863,68800
2010-04-29,60.799999,61.419998,60.639999,61.419998,51.466038,90500
2010-04-30,61.639999,61.720001,60.029999,60.060001,50.326443,77400
2010-05-03,60.380001,61.369999,60.150002,61.279999,51.348721,131200
2010-05-04,60.660000,60.660000,58.799999,59.200001,49.605824,117200
2010-05-05,58.380001,59.150002,58.029999,58.419998,48.952229,112600
2010-05-06,58.070000,58.740002,27.889999,56.509998,47.351768,270200
2010-05-07,55.369999,57.509998,54.450001,55.169998,46.228947,170100
2010-05-10,56.160000,61.380001,56.160000,58.299999,48.851662,119500
2010-05-11,58.259998,59.070000,57.450001,58.259998,48.818165,136800
2010-05-12,58.990002,59.840000,58.380001,59.770000,50.083439,79100
2010-05-13,59.720001,59.880001,58.900002,59.080002,49.505283,53800
2010-05-14,58.599998,58.599998,57.180000,57.759998,48.399193,60600
2010-05-17,57.340000,58.150002,56.299999,57.610001,48.273502,99200
2010-05-18,58.250000,58.380001,56.610001,56.900002,47.678566,81800
2010-05-19,56.119999,56.830002,55.259998,55.970001,46.899284,141800
2010-05-20,54.080002,54.700001,53.290001,53.360001,44.712276,149600
2010-05-21,51.759998,54.369999,51.759998,54.240002,45.449661,159200
2010-05-24,54.130001,54.349998,53.400002,53.400002,44.745785,69600
2010-05-25,51.669998,53.360001,51.430000,53.360001,44.712276,155100
2010-05-26,54.290001,54.820000,53.459999,53.580002,44.896618,65200
2010-05-27,55.509998,55.560001,54.540001,55.540001,46.538967,55300
2010-05-28,55.500000,55.560001,54.250000,54.689999,45.826729,51600
2010-06-01,54.110001,55.029999,53.560001,53.599998,44.913372,125900
2010-06-02,53.799999,54.939999,53.439999,54.930000,46.027828,41800
2010-06-03,55.400002,55.480000,54.720001,55.230000,46.279213,60000
2010-06-04,53.259998,54.189999,52.480000,52.650002,44.117340,69900
2010-06-07,52.730000,52.730000,51.220001,51.230000,42.927460,78400
2010-06-08,51.439999,51.930000,50.730000,51.709999,43.329685,109500
2010-06-09,52.150002,52.959999,51.520000,51.709999,43.329685,53200
2010-06-10,52.750000,53.580002,52.709999,53.580002,44.896618,31800
2010-06-11,53.060001,53.900002,52.450001,53.869999,45.139610,36000
2010-06-14,54.459999,54.880001,53.849998,53.910000,45.173134,44000
2010-06-15,54.230000,55.639999,54.230000,55.580002,46.572483,40500
2010-06-16,54.790001,55.810001,54.790001,55.470001,46.480320,42400
2010-06-17,55.779999,55.779999,54.889999,55.570000,46.564114,27300
2010-06-18,55.790001,55.880001,55.430000,55.740002,46.706566,25600
2010-06-21,56.520000,56.849998,55.540001,55.779999,46.740086,35100
2010-06-22,55.869999,56.220001,54.369999,54.369999,45.558590,27100
2010-06-23,54.369999,54.680000,53.650002,54.189999,45.407764,42300
2010-06-24,53.910000,54.090000,53.099998,53.189999,44.569824,58400
2010-06-25,53.330002,53.689999,52.919998,53.500000,44.829582,45400
2010-06-28,53.660000,54.009998,53.139999,53.279999,44.645245,45600
2010-06-29,52.220001,52.270000,50.799999,51.189999,42.893951,62800
2010-06-30,51.110001,51.820000,50.820000,50.869999,42.625809,32600
2010-07-01,50.849998,51.020000,49.610001,50.439999,42.265495,69900
2010-07-02,50.619999,50.750000,49.720001,49.970001,41.871674,29400
2010-07-06,50.689999,51.090000,49.480000,49.930000,41.838150,64600
2010-07-07,50.029999,51.779999,50.029999,51.740002,43.354809,23900
2010-07-08,52.200001,52.549999,51.750000,52.419998,43.924614,41500
2010-07-09,52.419998,52.939999,52.419998,52.939999,44.360336,30800
2010-07-12,52.759998,52.919998,52.220001,52.549999,44.033539,10700
2010-07-13,53.090000,53.889999,53.090000,53.740002,45.030685,56000
2010-07-14,53.709999,54.020000,53.279999,53.790001,45.072582,30300
2010-07-15,53.750000,53.750000,52.849998,53.599998,44.913372,32600
2010-07-16,52.849998,52.900002,51.709999,51.849998,43.446980,32500
2010-07-19,51.740002,52.180000,51.470001,52.119999,43.673229,54600
2010-07-20,51.389999,53.029999,51.310001,53.029999,44.435757,28100
2010-07-21,53.389999,53.650002,52.540001,52.840000,44.276546,71700
2010-07-22,54.209999,54.650002,53.820000,54.470001,45.642384,46600
2010-07-23,54.470001,55.669998,54.360001,55.599998,46.589241,39900
2010-07-26,55.650002,56.590000,55.650002,56.590000,47.418819,30400
2010-07-27,57.000000,57.000000,56.000000,56.130001,47.033344,34700
2010-07-28,55.900002,56.070000,55.619999,55.799999,46.756828,16300
2010-07-29,56.220001,56.380001,55.189999,55.750000,46.714931,34700
2010-07-30,55.200001,56.020000,54.880001,55.919998,46.857391,24500
2010-08-02,56.439999,57.020000,56.439999,56.970001,47.737228,82900
2010-08-03,57.029999,57.029999,56.389999,56.590000,47.418819,81700
2010-08-04,56.529999,57.049999,56.529999,57.029999,47.787498,47700
2010-08-05,56.720001,57.099998,56.310001,56.959999,47.728840,34100
2010-08-06,56.419998,56.770000,55.799999,56.509998,47.351768,20400
2010-08-09,56.860001,57.090000,56.680000,57.009998,47.770737,30600
2010-08-10,56.549999,56.730000,55.970001,56.459999,47.309875,41800
2010-08-11,55.500000,55.500000,54.099998,54.330002,45.525074,41600
2010-08-12,53.389999,54.139999,52.919998,53.900002,45.164753,51600
2010-08-13,53.740002,54.040001,53.610001,53.720001,45.013935,33700
2010-08-16,53.369999,53.939999,53.000000,53.730000,45.022308,39000
2010-08-17,54.160000,55.220001,54.160000,54.750000,45.877007,22800
2010-08-18,54.639999,55.099998,54.279999,54.869999,45.977547,77200
2010-08-19,54.549999,54.750000,53.349998,53.660000,44.963657,31300
2010-08-20,53.439999,53.529999,52.779999,53.430000,44.770927,36300
2010-08-23,53.700001,53.970001,52.720001,52.730000,44.184376,18800
2010-08-24,52.119999,52.160000,51.250000,51.709999,43.329685,44200
2010-08-25,51.139999,51.970001,50.509998,51.790001,43.396709,90000
2010-08-26,52.160000,52.450001,51.490002,51.540001,43.187233,29400
2010-08-27,51.919998,52.810001,51.279999,52.740002,44.192749,30800
2010-08-30,52.720001,52.750000,51.830002,51.830002,43.430237,105900
2010-08-31,51.490002,52.119999,51.279999,51.689999,43.312916,37900
2010-09-01,52.439999,53.799999,52.439999,53.709999,45.005550,50800
2010-09-02,53.900002,54.509998,53.810001,54.459999,45.634003,30800
2010-09-03,55.080002,55.619999,54.930000,55.259998,46.304352,35500
2010-09-07,54.840000,55.029999,54.599998,54.660000,45.801586,26400
2010-09-08,54.770000,55.509998,54.770000,55.209999,46.262459,21000
2010-09-09,55.970001,55.970001,55.060001,55.270000,46.312737,22500
2010-09-10,55.430000,55.750000,55.290001,55.650002,46.631157,11600
2010-09-13,56.340000,56.439999,56.070000,56.340000,47.209324,26200
2010-09-14,56.200001,56.490002,56.020000,56.209999,47.100395,55800
2010-09-15,56.040001,56.330002,55.730000,56.279999,47.159039,18800
2010-09-16,56.130001,56.220001,55.880001,56.099998,47.008217,36800
2010-09-17,56.500000,56.660000,55.970001,56.580002,47.410427,46400
2010-09-20,56.720001,57.570000,56.580002,57.490002,48.172951,33300
2010-09-21,57.840000,58.040001,57.389999,57.580002,48.248371,50500
2010-09-22,57.470001,57.820000,56.930000,57.209999,47.938320,57200
2010-09-23,57.000000,57.110001,56.169998,56.299999,47.175800,49900
2010-09-24,56.970001,57.930000,56.970001,57.930000,48.541641,47900
2010-09-27,58.150002,58.189999,57.509998,57.570000,48.239979,62400
2010-09-28,57.650002,58.049999,56.860001,57.980000,48.583538,38900
2010-09-29,57.689999,58.139999,57.630001,57.919998,48.533260,42000
2010-09-30,58.400002,58.730000,57.500000,57.790001,48.424328,28000
2010-10-01,58.189999,58.389999,57.630001,57.860001,48.482986,55300
2010-10-04,57.799999,57.959999,56.919998,57.160000,47.896431,33400
2010-10-05,57.770000,58.900002,57.709999,58.689999,49.178474,37600
2010-10-06,58.849998,59.230000,58.720001,59.049999,49.480129,65100
2010-10-07,59.180000,59.180000,58.669998,59.020000,49.454983,28100
2010-10-08,59.189999,59.740002,58.959999,59.570000,49.915848,24600
2010-10-11,59.660000,59.779999,59.330002,59.430000,49.798542,20500
2010-10-12,59.380001,59.590000,58.599998,59.470001,49.832058,56800
2010-10-13,60.000000,60.669998,59.840000,60.320000,50.544312,50100
2010-10-14,60.360001,60.360001,59.599998,60.029999,50.301300,22800
2010-10-15,60.220001,60.250000,59.299999,59.590000,49.932621,27000
2010-10-18,59.560001,59.779999,59.480000,59.720001,50.041542,45000
2010-10-19,59.450001,59.450001,58.410000,58.790001,49.262272,41200
2010-10-20,59.349998,59.939999,59.049999,59.720001,50.041542,50400
2010-10-21,59.889999,60.520000,59.680000,60.130001,50.385098,18700
2010-10-22,60.419998,60.419998,59.860001,60.169998,50.418613,23200
2010-10-25,60.810001,61.000000,60.380001,60.389999,50.602955,29400
2010-10-26,60.270000,60.509998,59.799999,60.220001,50.460518,72600
2010-10-27,59.939999,59.939999,59.220001,59.849998,50.150475,40500
2010-10-28,60.369999,60.369999,59.259998,59.689999,50.016411,33300
2010-10-29,59.450001,59.880001,59.400002,59.820000,50.125340,32200
2010-11-01,60.070000,60.570000,59.410000,59.770000,50.083439,70000
2010-11-02,60.369999,60.410000,60.099998,60.360001,50.577824,16300
2010-11-03,60.450001,60.570000,59.759998,60.509998,50.703514,76900
2010-11-04,61.380001,61.900002,61.160000,61.830002,51.809597,59100
2010-11-05,62.070000,62.410000,61.810001,62.220001,52.136395,34800
2010-11-08,62.060001,62.060001,61.700001,61.990002,51.943661,32700
2010-11-09,62.240002,62.240002,61.160000,61.419998,51.466038,72500
2010-11-10,61.459999,61.529999,60.860001,61.459999,51.499546,19900
2010-11-11,61.180000,61.240002,60.810001,61.189999,51.273315,31300
2010-11-12,60.779999,61.009998,60.130001,60.360001,50.577824,16900
2010-11-15,60.810001,61.130001,60.570000,60.619999,50.795692,32500
2010-11-16,60.450001,60.450001,59.340000,59.669998,49.999634,31800
2010-11-17,59.779999,59.830002,59.570000,59.709999,50.033169,15700
2010-11-18,60.330002,61.029999,60.330002,60.799999,50.946514,16100
2010-11-19,60.840000,61.090000,60.500000,61.090000,51.189514,33800
2010-11-22,60.840000,61.029999,60.279999,60.950001,51.072208,21800
2010-11-23,60.340000,60.380001,59.910000,60.189999,50.435375,27400
2010-11-24,60.849998,61.570000,60.849998,61.529999,51.558208,15600
2010-11-26,61.099998,61.349998,61.049999,61.160000,51.248177,9300
2010-11-29,60.910000,61.160000,60.240002,61.130001,51.223034,35600
2010-11-30,60.560001,61.139999,60.330002,60.889999,51.021931,31900
2010-12-01,61.930000,62.520000,61.820000,62.450001,52.329109,41300
2010-12-02,62.770000,63.450001,62.560001,63.389999,53.116764,149000
2010-12-03,63.180000,63.700001,63.000000,63.630001,53.317875,60400
2010-12-06,63.630001,63.799999,63.310001,63.650002,53.334641,112700
2010-12-07,64.360001,64.440002,63.869999,63.900002,53.544121,220700
2010-12-08,64.089996,64.139999,63.549999,63.770000,53.435192,66800
2010-12-09,64.080002,64.120003,63.720001,63.910000,53.552498,77600
2010-12-10,64.300003,64.669998,63.930000,64.599998,54.130669,55600
2010-12-13,65.129997,65.129997,64.550003,64.550003,54.088783,57700
2010-12-14,64.559998,65.010002,64.559998,64.779999,54.281502,97100
2010-12-15,64.860001,65.120003,64.389999,64.489998,54.038494,61000
2010-12-16,64.779999,65.150002,64.440002,65.150002,54.591541,83000
2010-12-17,65.190002,65.190002,64.790001,65.000000,54.465839,75800
2010-12-20,65.419998,65.419998,64.730003,65.040001,54.499371,72600
2010-12-21,65.269997,65.680000,65.260002,65.580002,54.951859,51500
2010-12-22,65.000000,65.000000,64.720001,64.900002,55.097027,67900
2010-12-23,64.919998,64.919998,64.610001,64.720001,54.944221,46100
2010-12-27,64.699997,64.889999,64.230003,64.820000,55.029102,43100
2010-12-28,65.000000,65.000000,64.570000,64.879997,55.080036,56400
2010-12-29,65.160004,65.160004,64.800003,64.839996,55.046078,63200
2010-12-30,64.820000,64.989998,64.750000,64.830002,55.037601,46300
2010-12-31,64.870003,64.959999,64.610001,64.820000,55.029102,47400
2011-01-03,65.339996,65.720001,65.260002,65.370003,55.496040,110100
2011-01-04,65.690002,65.690002,64.519997,65.110001,55.275307,88400
2011-01-05,65.050003,65.669998,64.849998,65.540001,55.640362,52800
2011-01-06,65.639999,65.739998,65.220001,65.410004,55.529995,39800
2011-01-07,65.809998,65.900002,64.949997,65.489998,55.597897,45400
2011-01-10,65.110001,65.699997,64.970001,65.589996,55.682800,97800
2011-01-11,65.800003,66.120003,65.529999,65.800003,55.861080,150000
2011-01-12,66.209999,66.519997,66.180000,66.370003,56.344986,74200
2011-01-13,66.970001,66.970001,66.279999,66.459999,56.421383,97700
2011-01-14,66.449997,66.790001,66.290001,66.760002,56.676075,63100
2011-01-18,66.989998,67.120003,66.800003,67.099998,56.964718,79100
2011-01-19,67.150002,67.150002,66.080002,66.250000,56.243111,128400
2011-01-20,66.199997,66.199997,65.480003,65.889999,55.937489,53100
2011-01-21,66.940002,66.940002,66.269997,66.379997,56.353462,62900
2011-01-24,66.610001,67.150002,66.410004,67.110001,56.973206,84300
2011-01-25,67.000000,67.080002,66.449997,66.989998,56.871330,70700
2011-01-26,67.239998,67.750000,67.059998,67.559998,57.355240,82700
2011-01-27,67.699997,68.019997,67.500000,67.870003,57.618408,93000
2011-01-28,67.930000,68.190002,66.400002,66.500000,56.455349,90500
2011-01-31,66.720001,67.290001,66.720001,67.139999,56.998688,96900
2011-02-01,67.830002,68.959999,67.540001,68.230003,57.924042,159300
2011-02-02,68.370003,68.379997,67.959999,68.010002,57.737270,49500
2011-02-03,67.750000,68.120003,67.510002,68.029999,57.754250,59800
2011-02-04,68.470001,68.800003,67.800003,68.269997,57.957989,90400
2011-02-07,68.720001,69.199997,68.510002,68.980003,58.560738,106800
2011-02-08,69.260002,69.489998,68.970001,69.489998,58.993706,238400
2011-02-09,69.559998,69.559998,69.089996,69.400002,58.917313,75700
2011-02-10,69.269997,69.779999,69.000000,69.690002,59.163509,65200
2011-02-11,69.639999,70.400002,69.419998,70.300003,59.681381,99200
2011-02-14,70.610001,70.629997,70.150002,70.370003,59.740791,150200
2011-02-15,70.320000,70.320000,69.790001,70.110001,59.520061,65900
2011-02-16,70.570000,70.660004,70.129997,70.470001,59.825691,77000
2011-02-17,70.290001,70.760002,70.230003,70.690002,60.012459,156300
2011-02-18,71.010002,71.010002,70.559998,70.849998,60.148281,74400
2011-02-22,70.150002,70.150002,68.500000,68.739998,58.357002,123900
2011-02-23,68.709999,68.709999,66.709999,67.410004,57.227894,137400
2011-02-24,67.209999,68.169998,67.080002,67.790001,57.550484,67000
2011-02-25,68.570000,68.610001,68.099998,68.589996,58.229652,99500
2011-02-28,68.870003,69.370003,68.559998,68.919998,58.509808,136400
2011-03-01,69.360001,69.360001,67.250000,67.389999,57.210915,134100
2011-03-02,67.129997,68.169998,67.129997,67.730003,57.499565,123400
2011-03-03,68.370003,69.589996,68.370003,69.360001,58.883347,78400
2011-03-04,69.510002,69.510002,68.070000,68.610001,58.246647,64200
2011-03-07,68.809998,69.110001,67.400002,67.949997,57.686321,179500
2011-03-08,68.059998,69.400002,67.809998,69.139999,58.696579,246000
2011-03-09,68.889999,69.220001,68.419998,68.970001,58.552258,101300
2011-03-10,68.199997,68.260002,67.440002,67.500000,57.304310,73500
2011-03-11,67.180000,68.480003,67.089996,68.169998,57.873100,78900
2011-03-14,67.709999,67.930000,66.860001,67.629997,57.414658,107200
2011-03-15,65.470001,67.349998,65.000000,66.910004,56.803432,131600
2011-03-16,66.989998,67.000000,65.300003,65.720001,55.793163,84600
2011-03-17,66.699997,67.330002,66.300003,66.589996,56.531742,65400
2011-03-18,67.830002,67.830002,66.949997,67.160004,57.015667,106700
2011-03-21,68.389999,68.800003,68.190002,68.620003,58.255127,89100
2011-03-22,68.760002,68.760002,68.010002,68.129997,57.839146,47200
2011-03-23,68.080002,68.510002,67.570000,68.339996,58.017399,44600
2011-03-24,68.800003,69.080002,68.300003,69.019997,58.594700,54600
2011-03-25,69.290001,69.699997,68.970001,69.330002,58.857880,55400
2011-03-28,69.669998,69.720001,69.199997,69.199997,58.747517,75800
2011-03-29,69.199997,69.669998,68.750000,69.650002,59.129551,97600
2011-03-30,70.279999,70.309998,69.879997,70.150002,59.554020,59800
2011-03-31,70.190002,70.510002,70.059998,70.370003,59.740791,90200
2011-04-01,70.930000,71.379997,70.809998,71.019997,60.292618,85600
2011-04-04,71.449997,71.449997,70.930000,71.129997,60.385990,68600
2011-04-05,70.930000,71.389999,70.849998,70.949997,60.233185,67700
2011-04-06,71.510002,71.510002,70.690002,71.040001,60.309593,62800
2011-04-07,70.919998,71.129997,70.370003,70.550003,59.893616,36600
2011-04-08,70.900002,70.900002,69.489998,69.839996,59.290852,49500
2011-04-11,69.949997,70.220001,69.529999,69.699997,59.171989,57000
2011-04-12,69.110001,69.589996,68.900002,69.129997,58.688091,178900
2011-04-13,69.669998,69.669998,68.629997,68.989998,58.569233,47900
2011-04-14,68.650002,69.089996,68.089996,69.050003,58.620178,59300
2011-04-15,69.080002,69.540001,69.019997,69.349998,58.874870,27000
2011-04-18,68.580002,68.580002,67.760002,68.330002,58.008923,63000
2011-04-19,68.550003,68.940002,68.540001,68.910004,58.501324,42700
2011-04-20,70.000000,70.250000,69.720001,69.940002,59.375740,46500
2011-04-21,70.500000,70.500000,69.940002,70.230003,59.621941,30200
2011-04-25,70.129997,70.239998,69.800003,69.980003,59.409718,51000
2011-04-26,70.339996,71.440002,70.339996,71.209999,60.453922,57200
2011-04-27,71.360001,71.699997,70.879997,71.620003,60.801991,58000
2011-04-28,71.459999,71.959999,71.459999,71.830002,60.980270,41000
2011-04-29,71.949997,72.370003,71.940002,72.169998,61.268913,41000
2011-05-02,72.489998,72.599998,71.849998,71.940002,61.073650,43000
2011-05-03,71.790001,72.000000,71.239998,71.559998,60.751041,51300
2011-05-04,71.610001,71.610001,70.320000,70.540001,59.885128,63000
2011-05-05,70.160004,71.120003,69.930000,70.250000,59.638920,37100
2011-05-06,71.089996,71.580002,70.500000,70.769997,60.080368,78700
2011-05-09,70.870003,71.400002,70.639999,71.150002,60.402981,54500
2011-05-10,71.489998,71.910004,71.489998,71.809998,60.963276,43200
2011-05-11,71.800003,71.800003,70.739998,70.970001,60.250164,45300
2011-05-12,70.779999,71.250000,70.180000,71.050003,60.318096,42700
2011-05-13,70.980003,71.220001,70.010002,70.139999,59.545532,30900
2011-05-16,69.879997,70.480003,69.709999,69.790001,59.248394,67000
2011-05-17,69.529999,69.529999,68.639999,68.900002,58.492828,85700
2011-05-18,69.010002,69.900002,68.779999,69.830002,59.282368,38300
2011-05-19,70.110001,70.629997,69.959999,70.300003,59.681381,42900
2011-05-20,70.080002,70.089996,69.339996,69.620003,59.104061,36200
2011-05-23,68.379997,68.750000,68.169998,68.489998,58.144753,70700
2011-05-24,68.660004,68.820000,68.000000,68.059998,57.779713,121000
2011-05-25,67.830002,68.919998,67.699997,68.680000,58.306065,42700
2011-05-26,68.440002,69.059998,68.199997,68.879997,58.475845,41800
2011-05-27,69.120003,69.559998,69.120003,69.320000,58.849400,47400
2011-05-31,70.029999,70.190002,69.430000,70.019997,59.443661,56300
2011-06-01,69.800003,69.900002,67.739998,67.790001,57.550484,82800
2011-06-02,67.830002,68.489998,67.570000,68.019997,57.745743,107400
2011-06-03,67.150002,67.620003,66.879997,67.080002,56.947746,50900
2011-06-06,66.949997,67.190002,66.379997,66.480003,56.438381,103600
2011-06-07,66.860001,66.970001,66.430000,66.430000,56.395935,51800
2011-06-08,66.290001,66.400002,65.839996,65.900002,55.945976,61000
2011-06-09,66.089996,66.650002,66.010002,66.370003,56.344986,27800
2011-06-10,66.139999,66.139999,65.209999,65.339996,55.470566,61500
2011-06-13,65.449997,65.779999,65.070000,65.330002,55.462067,74100
2011-06-14,65.989998,66.879997,65.989998,66.580002,56.523266,54700
